Zuzana;Caputova;208
Maros;Sefcovic;150
Zuzana;Caputova;796
Maros;Sefcovic;226
Zuzana;Caputova;3040
Maros;Sefcovic;1154
Zuzana;Caputova;8645
Maros;Sefcovic;2663
Zuzana;Caputova;139
Maros;Sefcovic;50
Zuzana;Caputova;1319
Maros;Sefcovic;567
Zuzana;Caputova;1813
Maros;Sefcovic;721
Zuzana;Caputova;1311
Maros;Sefcovic;883
Zuzana;Caputova;104
Maros;Sefcovic;48
Zuzana;Caputova;863
Maros;Sefcovic;305
Zuzana;Caputova;545
Maros;Sefcovic;111
Zuzana;Caputova;334
Maros;Sefcovic;212
Zuzana;Caputova;2362
Maros;Sefcovic;877
Zuzana;Caputova;402
Maros;Sefcovic;331
Zuzana;Caputova;188
Maros;Sefcovic;46
Zuzana;Caputova;323
Maros;Sefcovic;213
Zuzana;Caputova;2160
Maros;Sefcovic;649
Zuzana;Caputova;805
Maros;Sefcovic;192
Zuzana;Caputova;386
Maros;Sefcovic;107
Zuzana;Caputova;316
Maros;Sefcovic;60
Zuzana;Caputova;112
Maros;Sefcovic;80
Zuzana;Caputova;2251
Maros;Sefcovic;605
Zuzana;Caputova;146
Maros;Sefcovic;68
Zuzana;Caputova;2119
Maros;Sefcovic;837
Zuzana;Caputova;477
Maros;Sefcovic;153
Zuzana;Caputova;215
Maros;Sefcovic;144
Zuzana;Caputova;223
Maros;Sefcovic;75
Zuzana;Caputova;605
Maros;Sefcovic;283
Zuzana;Caputova;1331
Maros;Sefcovic;248
Zuzana;Caputova;1180
Maros;Sefcovic;332
Zuzana;Caputova;1007
Maros;Sefcovic;387
Zuzana;Caputova;914
Maros;Sefcovic;231
Zuzana;Caputova;18
Maros;Sefcovic;25
Zuzana;Caputova;430
Maros;Sefcovic;120
Zuzana;Caputova;1408
Maros;Sefcovic;401
Zuzana;Caputova;5279
Maros;Sefcovic;1944
Zuzana;Caputova;923
Maros;Sefcovic;183
Zuzana;Caputova;398
Maros;Sefcovic;64
Zuzana;Caputova;857
Maros;Sefcovic;223
Zuzana;Caputova;148
Maros;Sefcovic;20
Zuzana;Caputova;745
Maros;Sefcovic;215
Zuzana;Caputova;159
Maros;Sefcovic;60
Zuzana;Caputova;272
Maros;Sefcovic;22
Zuzana;Caputova;136
Maros;Sefcovic;16
Zuzana;Caputova;85
Maros;Sefcovic;29
Zuzana;Caputova;89
Maros;Sefcovic;32
Zuzana;Caputova;231
Maros;Sefcovic;43
Zuzana;Caputova;148
Maros;Sefcovic;29
