Velke Blahovo;Dunajska Streda;Trnavsky kraj;1241;326;26.26;326;501981
Velke Dvorniky;Dunajska Streda;Trnavsky kraj;1047;305;29.13;305;555673
Velky Meder;Dunajska Streda;Trnavsky kraj;7097;1570;22.12;1570;501522
Vieska;Dunajska Streda;Trnavsky kraj;360;160;44.44;160;555746
Vojka nad Dunajom;Dunajska Streda;Trnavsky kraj;410;212;51.70;212;501999
Vrakun;Dunajska Streda;Trnavsky kraj;2255;715;31.70;714;502006
Vydrany;Dunajska Streda;Trnavsky kraj;1451;433;29.84;433;502014
Zlate Klasy;Dunajska Streda;Trnavsky kraj;2753;532;19.32;532;502022
Abraham;Galanta;Trnavsky kraj;905;527;58.23;527;503673
Cierna Voda;Galanta;Trnavsky kraj;1147;564;49.17;564;503690
Cierny Brod;Galanta;Trnavsky kraj;1372;430;31.34;430;503703
Dolna Streda;Galanta;Trnavsky kraj;1289;731;56.71;731;555789
Dolne Saliby;Galanta;Trnavsky kraj;1721;570;33.12;564;503746
Dolny Chotar;Galanta;Trnavsky kraj;300;74;24.66;74;503754
Galanta;Galanta;Trnavsky kraj;12474;5936;47.58;5928;503665
Gan;Galanta;Trnavsky kraj;684;368;53.80;368;503762
Horne Saliby;Galanta;Trnavsky kraj;2671;1030;38.56;1030;503771
Hoste;Galanta;Trnavsky kraj;393;215;54.70;215;503789
Janovce;Galanta;Trnavsky kraj;406;223;54.92;223;503827
Jelka;Galanta;Trnavsky kraj;3357;1129;33.63;1129;503835
Kajal;Galanta;Trnavsky kraj;1249;465;37.22;465;503843
Kosuty;Galanta;Trnavsky kraj;1403;571;40.69;571;503860
Kralov Brod;Galanta;Trnavsky kraj;907;268;29.54;268;503878
Mala Maca;Galanta;Trnavsky kraj;499;232;46.49;232;582638
Matuskovo;Galanta;Trnavsky kraj;1888;953;50.47;953;555754
Mostova;Galanta;Trnavsky kraj;1339;485;36.22;485;503924
Pata;Galanta;Trnavsky kraj;2637;1271;48.19;1271;503959
Puste Sady;Galanta;Trnavsky kraj;530;256;48.30;256;503967
Puste Ulany;Galanta;Trnavsky kraj;1443;735;50.93;735;503975
Sered;Galanta;Trnavsky kraj;13365;6528;48.84;6528;504009
Sladkovicovo;Galanta;Trnavsky kraj;4405;1783;40.47;1783;504017
Salgocka;Galanta;Trnavsky kraj;390;192;49.23;192;504033
Sintava;Galanta;Trnavsky kraj;1468;822;55.99;822;504041
Soporna;Galanta;Trnavsky kraj;3451;1555;45.05;1555;504050
Tomasikovo;Galanta;Trnavsky kraj;1331;389;29.22;389;504076
Topolnica;Galanta;Trnavsky kraj;694;369;53.17;369;504084
Trstice;Galanta;Trnavsky kraj;3214;973;30.27;973;504106
Vahovce;Galanta;Trnavsky kraj;1743;637;36.54;637;504114
Velka Maca;Galanta;Trnavsky kraj;2131;787;36.93;787;504122
Velke Ulany;Galanta;Trnavsky kraj;3766;1573;41.76;1573;504131
Velky Grob;Galanta;Trnavsky kraj;1122;562;50.08;562;504149
Vinohrady nad Vahom;Galanta;Trnavsky kraj;1365;660;48.35;660;504157
Vozokany;Galanta;Trnavsky kraj;967;348;35.98;348;504173
Zemianske Sady;Galanta;Trnavsky kraj;689;301;43.68;301;504181
Banka;Piesùany;Trnavsky kraj;1853;1002;54.07;1002;581399
Basovce;Piesùany;Trnavsky kraj;277;169;61.01;169;558354
Borovce;Piesùany;Trnavsky kraj;867;450;51.90;450;506834
Dolny Lopasov;Piesùany;Trnavsky kraj;819;411;50.18;411;506982
Drahovce;Piesùany;Trnavsky kraj;2168;1118;51.56;1117;506991
Dubovany;Piesùany;Trnavsky kraj;828;412;49.75;412;507008
Ducove;Piesùany;Trnavsky kraj;370;217;58.64;217;558338
Hubina;Piesùany;Trnavsky kraj;434;222;51.15;222;556581
Chtelnica;Piesùany;Trnavsky kraj;2156;1295;60.06;1294;507121
Kocin - Lancar;Piesùany;Trnavsky kraj;433;241;55.65;241;507199
Krakovany;Piesùany;Trnavsky kraj;1162;679;58.43;679;507229
Moravany nad Vahom;Piesùany;Trnavsky kraj;1915;1055;55.09;1055;507342
Nizna;Piesùany;Trnavsky kraj;463;255;55.07;255;507369
